id,adresse,postcode,city
"C201400468902","","85360","La Tranche-sur-Mer"
"B201302193420","","85000","La Roche-sur-Yon"
"B201302201111","","85100","Les Sables-d'Olonne"
"C2014003710012","","85500","Les Herbiers"
"C2014003710025","","85250","Saint-Fulgent"
"C2014003710021","","85000","La Roche-sur-Yon"
"C2014003710028","","85330","Noirmoutier-en-l'Ã¿le"
"C2014003710048","","85310","Nesmy"
"C2014003710118","","85260","Saint-André-Treize-Voies"
"C2014003710108","","85670","Saint-Christophe-du-Ligneron"
"C2014003211233","","85190","Aizenay"
"C2014003211251","","85170","Le Poiré-sur-Vie"
"C2014003211262","","85000","La Roche-sur-Yon"
"C2014003211277","","85130","La Gaubretière"
"C2014003211273","","85340","Olonne-sur-Mer"
"C2014003211287","","85700","Pouzauges"
"C2014003211318","","85290","Mortagne-sur-Sèvre"
"C2014003211321","","85000","La Roche-sur-Yon"
"C2014003211354","","85230","Beauvoir-sur-Mer"
"C2014003211332","","85100","Les Sables-d'Olonne"
"C201400349756","","85160","Saint-Jean-de-Monts"
"C201400349760","","85350","L'Ile-d'Yeu"
"C201400349785","","85800","Saint-Gilles-Croix-de-Vie"
"C201400349789","","85310","La Chaize-le-Vicomte"
"C201400349805","","85500","Les Herbiers"
"C201400349865","","85000","La Roche-sur-Yon"
"C201400349885","","85000","La Roche-sur-Yon"
"C201400349890","","85700","Pouzauges"
"C201400349923","","85220","Saint-Révérend"
"C201400349926","","85300","Challans"
"C201400349938","","85140","Les Essarts"
"C201400349961","","85290","Saint-Laurent-sur-Sèvre"
"C201400349963","","85140","Chauché"
"C2014003510324","","85450","Chaillé-les-Marais"
"C2014003510332","","85160","Saint-Jean-de-Monts"
"C2014003510337","","85100","Les Sables-d'Olonne"
"C2014003510345","","85190","Maché"
"C2014003510387","","85290","Mortagne-sur-Sèvre"
"C2014003510407","","85330","Noirmoutier-en-l'Ile"
"C2014003510405","","85000","La Roche-sur-Yon"
"C2014003510430","","85180","Château d'Olonne"
"C2014003510432","","85160","Saint-Jean-de-Monts"
"C2014003510435","","85340","Olonne-sur-Mer"
"C2014003510441","","85600","Treize-Septiers"
