id,adresse,postcode,city
"374","rue Denis Papin ZI de Brais 44600 Saint-Nazaire","44600","Saint-Nazaire"
"1431","-128 rue La Boétie 75008 Paris","75008","Paris"
"2057","impasse des Coquelicots - ZA du Roulet 38500 Coublevie","38500","Coublevie"
"2279","zone industrielle Carros- 1ere Ave-5600 Mètres 06510 Carros","06510","Carros"
"2678","67076 Strasbourg","67076","Strasbourg"
"3193","Plantation Mont Vernon 97150 Saint-Martin","97150","Saint-Martin"
"4627","6 boulevard Albert Camus Zac de l'Apouticayre-Résidence des Poètes 31880 La Salvetat-Saint-Gilles","31880","La Salvetat-Saint-Gilles"
"5461","zone artisanale la coupe du rocher la Butte 85450 Chaillé-les-Marais","85450","Chaillé-les-Marais"
"5658","-350 rue des Frères Voison 69970 Chaponnay","69970","Chaponnay"
"6337","73 rue Haxo - Résidence Montcalm 1er Etage Numéro 25 85000 La Roche-sur-Yon","85000","La Roche-sur-Yon"
"6567","zone d'activité commerciale des Playes Jean Monnet Lot 8 A/b 83500 La Seyne-sur-Mer","83500","La Seyne-sur-Mer"
"7539","-200 avenue des Etats Unis Boîte N°109 31200 Toulouse","31200","Toulouse"
"8111","6 impasse Marthe Condat - Zac de Gabardie 31200 Toulouse","31200","Toulouse"
"8918","7 place Pierre au Lait 94303 Vincennes Cedex","94303","Vincennes Cedex"
"9069","Zac du Cornillon Nord 93216 La Plaine Saint-Denis Cedex","93216","La Plaine Saint-Denis Cedex"
"9161","résidence le Domaine Bâtiment f.Rch F147 13330 Pélissanne","13330","Pélissanne"
"9440","25 bis chemin d'Eau 97422 Saint-Paul","97422","Saint-Paul"
"9507","parc d'activité communautaire Bât. 6 Hôtel des entreprises 08600 Givet","08600","Givet"
"10025","4 rue Pierre Fontaine.Campus 3 91058 Évry Cedex","91058","Évry Cedex"
"10688","-15B chemin de la Zone Economique 97426 Les Trois-Bassins","97426","Les Trois-Bassins"
"10942","rue Claude Chappe ZI de la Seiglerie 2 44270 Machecoul","44270","Machecoul"
"11008","rue Henri Rol Tanguy ZAC les Naux 51450 Bétheny","51450","Bétheny"
